name,category,rate,price,time,price_numeric,price_text
Private tour by night Paris in Citroën 2CV,Private tour,4.9,"199,363 per person",1.5 hours,199363,per person
Paris: Eiffel Tower Guided Tour with Summit Access,Guided tour,4.6,"165,359 per person",1.5 hours,165359,per person
Paris: Basilique Saint Denis Entry Ticket,Entry ticket,4.6,"14,294 per person",365 days,14294,per person
Paris: Loire Castles Day Trip by Coach With Wine Tasting,Day trip,4.4,"224,190 per person",13 hours,224190,per person
"Paris: Eiffel Tower, Louvre Museum, and Seine River Cruise",Day trip,3.8,"165,509 per person",6 - 8 hours,165509,per person
Paris: Eiffel Tower 2nd Floor Access or Summit Access,Guided tour,4.5,"93,287 per person",1.5 hours,93287,per person
Paris: Eiffel Tower Tour with Summit Option,Guided tour,4.1,"76,736 per person",75 minutes,76736,per person
Paris: 1-hour Guided Segway Tour,Adventure,4.9,"58,681 per person",75 minutes,58681,per person
Paris: Guided Bike Tour Like a Local,Guided tour,4.7,"67,708 per person",3.5 hours,67708,per person
Paris: Disneyland® Tickets and Shuttle Transport,Entry ticket,4.1,"209,143 per person",1 day,209143,per person
Paris: Seine River Cruise with 3-Course Dinner & Live Music,Water activity,4.6,"233,217 per person",1.5 - 2.5 hours,233217,per person
From Paris: Versailles Palace & Garden Bike Tour w/ Tickets,Day trip,4.7,"164,005 per person",8 - 8.5 hours,164005,per person
Paris: Eiffel Tower Access w/ Audioguide and Optional Cruise,Entry ticket with host,3.8,"84,259 per person",2.5 hours,84259,per person
Paris: Hop-On Hop-Off Sightseeing Cruise 1-Day/2-Day Pass,Hop-on hop-off tour,4.3,"28,588 per person",1 - 2 days,28588,per person
Paris: Access Eiffel Tower Summit or Second Level,Guided tour,4.6,"103,819 per person",2 hours,103819,per person
Electric Bike Tour of Paris’ Hidden Gems,Guided tour,4.9,"88,773 per person",4 hours,88773,per person
Paris: Wine and Cheese Lunch,Guided tour,4.9,"118,866 per person",1.5 hours,118866,per person
Versailles: Guided Palace Tour with Optional Gardens Tour,Guided tour,3.9,"78,241 per person",1.5 - 2 hours,78241,per person
Paris: Jardin d'Acclimatation 1-Day Unlimited Pass,Entry ticket,4.6,"40,625 per person",1 day,40625,per person
Paris: Versailles Palace Guided Tour & Optional Garden Visit,Guided tour,4.2,"126,389 per person",4 hours,126389,per person
From Paris: Small-Group Champagne Day Trip with Six Tastings,Day trip,4.8,"346,065 per person",11 hours,346065,per person
Paris: Speakeasies and Hidden Bars Nighttime Tour,Other experience,4.6,"46,343 per person",2 hours,46343,per person
Skip the Line: Hard Rock Cafe Paris,Entry ticket,4.5,"39,497 per person",75 minutes,39497,per person
Paris: 3-Course Lunch at Madame Brasserie in Eiffel Tower,Entry ticket with host,4.3,"85,914 per person",1.5 hours,85914,per person
Paris: Macaron Class at Galeries Lafayette,Workshop or class,4.4,"82,755 per person",1.5 hours,82755,per person
From Paris: Skip-the-Line Palace of Versailles Bike Tour,Day trip,5.0,"218,171 per person",8 hours,218171,per person
Louvre Museum Highlights: 2-Hour Private Guided Tour,Private tour,4.5,"322,743 per person",2 hours,322743,per person
Paris: Notre Dame Virtual Reality Tour,Entry ticket,4.0,"36,863 per person",35 minutes,36863,per person
